id,cliente,comentario,fecha,comentario_limpio,sentimiento
32,Julio Bello Segura,Increíble. Industria pequeña primer.,2026-02-07,increíble industria pequeña primer,Positivo
33,Apolonia Pujol Gibert,Genial. Siempre servicio llama hombres mañana.,2026-01-01,genial siempre servicio llama hombres mañana,Neutral
34,Candela Campillo Roselló,Increíble. Sea consumo palabra estas que origen.,2026-02-20,increíble sea consumo palabra estas que origen,Negativo
35,Belén Ribas Amat,Pésimo. Río pequeña cambio casi la decisión.,2026-02-21,pésimo río pequeña cambio casi la decisión,Negativo
36,Abigaíl Mercader Isern,No funciona. De seguridad viejo partir asimismo dan cambios.,2026-01-23,no funciona de seguridad viejo partir asimismo dan cambios,Negativo
37,Teodosio de Seguí,Pésimo. Nada explicó hace proyectos rosa muestra ciento.,2026-02-07,pésimo nada explicó hace proyectos rosa muestra ciento,Negativo
38,Eloísa Roig Castells,Increíble. Ejemplo primera viejo algún conjunto.,2026-01-14,increíble ejemplo primera viejo algún conjunto,Neutral
39,Juan Luis Alberto Barberá,Muy contento. Atrás nuevo felipe español falta última movimiento.,2026-02-21,muy contento atrás nuevo felipe español falta última movimiento,Positivo
40,Nerea Pinto Iglesias,Una decepción. Señor septiembre imagen padres i.,2026-01-15,una decepción señor septiembre imagen padres i,Negativo
41,Eliseo Régulo Luján Chamorro,Excelente servicio. Política victoria grado decisión minutos dicho salida.,2026-02-14,excelente servicio política victoria grado decisión minutos dicho salida,Positivo
42,Victoriano Agapito Sala Diez,Muy contento. Realidad tres manos.,2026-01-03,muy contento realidad tres manos,Positivo
43,Nicolás Echevarría Lumbreras,Muy contento. Principales propios muchas.,2026-01-27,muy contento principales propios muchas,Positivo
44,Adán Coello Porta,Increíble. Industria otras acto junto primero.,2026-01-07,increíble industria otras acto junto primero,Negativo
45,Vicenta Cózar Guitart,Interés congreso escuela relaciones tomar apenas donde.,2026-01-26,interés congreso escuela relaciones tomar apenas donde,Neutral
46,Luz Merino León,Increíble. Tener historia soy estoy económica.,2026-02-16,increíble tener historia soy estoy económica,Neutral
47,Leopoldo Milla,No funciona. Orden espera economía hora consecuencia su.,2026-01-29,no funciona orden espera economía hora consecuencia su,Negativo
48,Jaime Durán Agullo,Llegó tarde. Sin siglo hay doctor.,2026-02-25,llegó tarde sin siglo hay doctor,Negativo
49,Darío Marqués Goñi,Llegó tarde. Estilo plaza meses instituciones usted.,2026-02-24,llegó tarde estilo plaza meses instituciones usted,Neutral
50,Marina Ferrández,Excelente servicio. Estar podía españa quería piel muchos cierto.,2026-01-24,excelente servicio estar podía españa quería piel muchos cierto,Positivo
